nr [-]   curved length [m]    x [m]                  y [m]                  z [m]
1        0.0000000000000000   0.0                    0.0                    0.0
2        2.7560000000000000   0.0                    -1.12e-06              2.756
3        6.8899994882549000   -0.1374038245723367    -0.02921025593017164   6.8899994882549
4        10.537640829792070   -0.37298332708404264   -0.0790945029988629    10.53764082979207
5        14.185268759901202   -0.5915838234035364    -0.12466749790774445   14.185268759901202
6        17.832874436261434   -0.7768853321698961    -0.16145371691846708   17.832874436261434
7        21.480452359647867   -0.9266460227247778    -0.1870442386777184    21.480452359647867
8        25.128006605624925   -1.0450513402489536    -0.19824196357510857   25.128006605624925
9        28.775565520754885   -1.1357432887673606    -0.18798388046968656   28.775565520754885
10       32.423122765795520   -1.1918154105485543    -0.17751703186984275   32.42312276579552
11       36.070668024202526   -1.2288893224653201    -0.17415905998846382   36.070668024202526
12       39.718211133149225   -1.2449430547407556    -0.1755012956496104    39.718211133149225
13       43.365759431988570   -1.2452938360220842    -0.1819456448427882    43.36575943198857
14       47.013320445367690   -1.2348578132275725    -0.19438059065136454   47.01332044536769
15       50.660905889869980   -1.212275791896845     -0.2134916993195871    50.66090588986998
16       54.308522082785515   -1.1841706379550017    -0.24081582288598238   54.308522082785515
17       57.956181530711014   -1.1474618871724749    -0.2773604503330454    57.956181530711014
18       61.603888959366190   -1.1081488207172026    -0.3248061909885538    61.60388895936619
19       65.251654352874250   -1.0629378925615935    -0.3844600129527375    65.25165435287425
20       68.899478859155700   -1.0170244963107375    -0.45806036808862793   68.8994788591557
21       72.775364857766950   -0.964038151677779     -0.5532812316787364    72.77536485776695 
22       76.651321024014010   -0.9117144720551617    -0.6681220636444272    76.65132102401401
23       80.527344982390030   -0.8568483554874612    -0.80470385442372      80.52734498239003
24       84.403430750694260   -0.8037375248204078    -0.9652085331204862    84.40343075069426
25       88.279566028561700   -0.7500250391318573    -1.1519601713261476    88.2795660285617
26       92.155741293848850   -0.6984350186863354    -1.3672421733524442    92.15574129384885
27       96.031939553028050   -0.648061498659022     -1.6135184359347912    96.03193955302805
28       99.908146501921620   -0.5997533102573949    -1.8932601275985692    99.90814650192162
29       103.78434885486946   -0.5541026918136979    -2.209012530859834     103.78434885486946
30       107.66052519960688   -0.5103260092550614    -2.5635082570984196    107.66052519960688
31       111.53666876123953   -0.46955409164656503   -2.9594190545802617    111.53666876123953
32       115.41276000581580   -0.431142091414069     -3.3996660546627786    115.4127600058158
33       119.28879015142601   -0.3957326990642356    -3.887182887452611     119.28879015142601
34       123.16472708669570   -0.36298498145951263   -4.425194668212419     123.1647270866957
35       127.04049885812584   -0.3326254376068723    -5.0172455060533805    127.04049885812584
36       130.91596298300195   -0.30328342265332026   -5.6673107516352434    130.91596298300195
37       135.04867223547808   -0.24082219044270364   -6.431883649375158     135.04867223547808
38       136.42557840240616   -0.1882395129609653    -6.705975019811016     136.42557840240616
39       137.11386083222018   -0.15523976665590247   -6.846753372290467     137.11386083222018
40       137.80171900263872   -0.09962664504241252   -6.991539702870396     137.80171900263872
